IATA,Terminal
AQA,Aeroatlas
AQL,Aquila Air Ltd.
AQN,Air Queensland
AQO,Aluminum Company Of America
AQT,Aviones de Renta de Quintana Roo
AQU,AirQuarius Aviation
AQZ,Aerodyne Charter Company
ARA,Arik Air
ARB,Avia Air N.V.
ARC,Air Routing International Corp.
ARD,Aerocondor
ARE,Aires
ARG,Aerolineas Argentinas
ARH,Arrowhead Airways
ARI,Aero Vics
ARJ,Aerojet de Costa Rica
SUN,Antillana De Navegacion Aerea
SUO,Aeroservicios De San Luis
SUP,Aerosuper
ARK,Aero Link Air Services S.L.
ARL,Airlec - Air Aquitaine Transport
ARM,Aeromarket Express
ARO,Arrow Aviation Ltd.
ARP,RPA-Aviataxi Ltd.
KLD,Air Klaipeda
ARQ,Armstrong Air
ARR,Air Armenia
ARS,Aeromet Servicios
ART,Aerotal Aerolineas Territoriales de Colombia Ltda
ARV,Aravco Ltd.
ARW,Aria
ARX,Air Xpress
OST,Airline Alania
HTT,Air Tchad
HUC,Aerloineas de Techuacan
HUT,Aerotransportes Huitzilin
HUY,Aero Transportes Del Humaya
ARY,Argosy Airways
ARZ,Air Resorts
ASA,Alaska Airlines
ASB,Air-Spray 1967 Ltd.
ASC,Air Star Corporation
ASD,Air Sinai
ASE,Airstars
ASF,Air Schefferville
ASG,African Star Airways (PTY) Ltd.
ASI,Aerosun International
ASJ,Air Satellite
ASM,Awesome Flight Services (PTY) Ltd.
ASN,Air and Sea Transport
ASO,Aero Slovakia
ASP,Airsprint
ASQ,Atlantic Southeast Airlines
ASR,All Star Airlines
ASS,Air Class
AST,Aerlineas Del Oeste
NRE,Aviones Are
NPL,Air Nepal International
NPR,Air Napier
WAM,Air Taxi & Cargo
WAP,Arrow Panama
ASV,Astravia-Bissau Air Transports Ltd.
ASZ,Astrakhan Airlines
ATA,Air Transport Association
ATB,Atlantair Ltd.
ATC,Air Tanzania
ATD,Aerotours Dominicana
ATE,Atlantis Transportation Services
ATG,Aerotrans Airline
XAC,Air Charter World
VBW,Air Burkina
ATH,Air Travel Corp.
ATI,Aero-Tropics Air Services
ATJ,Air Traffic GmbH
ATK,AeroTACA
ATL,Aerocentral
ATM,Airlines Of Tasmania
SPM,Air Saint Pierre
ATN,Air Transport International
ATP,ASTRAL Colombia - Aerotransportes Especiales Ltda.
ATQ,Air Transport Schiphol
FEO,Aeroferinco
FES,Aero Taxis Y Servicios Alfe
FFA,Avialesookhrana
FFB,Africair Service
ATR,Atlas Airlines
ATS,Air Transport Service
ATT,Aer Turas
ATU,Atlant Aerobatics Ltd.
ATV,Avanti Air
ATW,Aero Trades (Western) Ltd.
AUA,Austrian Airlines
WOW,Air Southwest
AUB,Augsburg Airways
CPV,Air Corporate
TUP,Aviastar-Tu
ABW,AirBridge Cargo
TUR,ATUR
TXU,ATESA Aerotaxis Ecuatorianos
TXX,Austin Express
AUD,Audi Air
AUF,Augusta Air Luftfahrtunternehmen
AUH,Abu Dhabi Amiri Flight
AUL,Aeroflot-Nord
AUM,Air Atlantic Uruguay
AUN,Aviones Unidos
AUP,Avia Business Group
SVE,Aero Servicios Expecializados
AUR,Aurigny Air Services
AUS,Aus-Air
AUT,Austral Lineas Aereas
AUU,Aurora Aviation
AUX,Air Uganda International Ltd.
AUY,Aerolineas Uruguayas
AUZ,Australian Airlines
AVA,Avianca - Aerovias Nacionales de Colombia
AVB,Aviation Beaufort
AVD,Alamo Aviacion
AVF,Aviair Aviation Ltd.
AVG,Air Falcon
AVH,AV8 Helicopters
AVJ,Avia Traffic Company
AVK,AV8 Helicopters
AVM,Aviacion Ejecutiva Mexicana
AVN,Air Vanuatu
AVO,Aviation at Work
AVP,Avcorp Registrations
LFP,Alfa Aerospace
LFR,Atlantic Airfreight Aviation
LFT,Aerolift Company
AVQ,Aviation Services
AVR,Active Aero Charter
AVS,Avialsa T-35
AVT,Asia Avia Airlines
AVU,Avia Sud A
AVV,Airvantage Incorporated
AVW,Aviator Airways
AVX,Aviapaslauga
XXX,ASL
YRG,Air Yugoslavia
ZAK,Airlink Zambia
ZZM,Agence Nationale des Aerodromes et de la Meteorologie
BGA,Airbus Transport International
BGD,Air Bangladesh
BGF,Aviodetachment-28
BGG,Aero BG
BHC,Aerotaxis De La Bahia
BIE,Air Mediterranee
BIV,Aviaservice
SZA,Aerolineas De El Salvador
SZL,Swaziland Airlink
TAH,Air Moorea
AVY,Aerovaradero
AVZ,Air Valencia
AWB,Airways International
AWK,Airwork
AWL,Australian Wetleasing
AWN,Air Niamey
AWO,Awood Air Ltd.
AWR,Arctic Wings And Rotors Ltd.
ISM,Auo Airclub AIST-M
AWS,Arab Wings
AWT,Air West
AWU,Aeroline GmbH
AWV,Airwave Transport
AWW,Air Wales
AWY,Aeroway
FWI,Air Caraïbes
AWZ,AirWest
AXB,Air India Express
AXD,Air Express
AXF,Asian Express Airlines
AXH,Aeromexhaga
AXI,Aeron International Airlines
AXK,African Express Airways
AXL,Air Exel
AXM,AirAsia
AXN,Alexandair
AXP,Aeromax
AXQ,Action Airlines (Action Air Charter)
BNI,Alberni Airways
BNZ,Aerolineas Bonanza
BOC,Aerobona
BOI,Aboitiz Air
AXR,Axel Rent
AXS,Altus Airlines
AXV,Aviaxess
AXX,Avioimpex A.D.p.o.
AXY,Axis Airways
AYD,Aladia Airlines
AYK,Aykavia Aircompany
AYM,Airman
AYN,Atlantic Airlines
AYS,Awsaj Aviation Services
AYT,Ayeet Aviation & Tourism
AYZ,Atlant-Soyuz Airlines
AZA,Alitalia
AZB,Azamat
AZE,Arcus-Air Logistic
AZF,Air Zermatt AG
AZK,Azalhelikopter
AZL,Africa One
AZM,Aerocozumel
AZN,Amaszonas
AZP,Arizona Pacific Airways
AZS,Aviacon Zitotrans Air Company
AZT,Azimut
AZV,Azov Avia Airlines
AZW,Air Zimbabwe
MHC,Aero Jomacha
MHS,Air Memphis
MHU,Air Memphis
MKH,Air Marrakech Service
AZX,Air Max Africa
AZY,Arizona Airways
AZZ,Azza Transport
NAR,Air Continental Inc
NAU,Antanik-Air
NER,Air Newark
NFF,Aircraft Support and Services
OBA,Aerobanana
OBK,Amako Airlines
OCA,Aserca Airlines
NFS,Afrique CArgo Service Senegal
NGC,Angoservice
NGE,Angel Airlines
NGF,Angel Flight America
OUL,Air Atonabee
OVA,Aero Nova
XPE,Amira Air
XSS,Aero Express Intercontinental
XTJ,Advance Aviation Services
TLR,Air Libya Tibesti
OVC,Aerovic
RVE,Airventure
RVI,Aero Servicios
RVL,Airvallee
OVE,Aeromover
OVI,Aerovias Ejecutivas
PTD,Aero Servicio Pity
PTE,Aero Copter
SDM,Rossiya-Russian Airlines
PLL,Air Pal
PLM,Air Pullmantur
AEH,Aviaexpress
PSG,Aviones Para Servirle
SLU,Avio Sluzba
SCU,Air Scorpio
SIP,Air Spirit
BMV,Alatau Airlines
GUG,Aviateca
PXX,Aroostook Aviation
PYC,Aeropycsa
PVK,Association of Private Pilots of Kazakhstan
BAH,The Amiri Flight
BAS,Aero Services
BBE,Ababeel Aviation
BBT,Air Bashkortostan
MCY,Ambulance Air Africa
EGF,American Eagle Airlines
PUE,Aeropuelche
PUT,Aeroput
AZI,Azzurra Air
,Airshop
,African Transport Trading and Investment Company
VUE,AD Aviation
XCT,Aero Costa Taxi Aereo
VRO,Aerovitro
VRI,Aerotaxi Villa Rica
VEG,Aerovega
VVG,Aerovilla
VLR,Aerolineas Villaverde
WIL,Aero Air
VEJ,Aero Ejecutivos
WAB,Aero Industries Inc
VNG,Aero Servicios Vanguardia
VAD,Aero Taxi Los Valles
VMR,Aero Vilamoura
VLS,Aero Virel
XAA,Aeronautical Radio Inc
VUO,Aerovuelox
VTM,Aeronaves TSM
VUN,Air Ivoire
BOT,Air Botswana
XPR,Air-Rep
XLL,Air Excel
VAE,Air Evans
WHY,Air Sorel
WDR,Air Net Private Charter
XEC,Air Executive Charter
UPA,Air Foyle
VTY,Air Midwest
VTA,Air Tahiti
URG,Air Urga
VDR,Air Vardar
VIM,Air VIA
WLR,Air Walser
URA,Aircompany Rosavia
XLB,Aircraft Performance Group
WLA,Airwaves Airlink
XFX,Airways Corporation of New Zealand
WAY,Airways
WGS,Airwings oy
XAK,Airkenya
WPK,Air-Lift Associates
VAB,Airtrans Ltd
URP,ARP 410 Airlines
WPR,Auckland Regional Rescue Helicopter Trust
URR,Aurora Airlines
UST,Austro Aereo
WLT,Aviation Partners
VLV,Avialift Vladivostok
VME,Aviacion Comercial de America
VVA,Aviast Air
WLV,Aviation North
WTA,Africa West
VNT,Avient Air Zambia
VZR,Aviazur
VID,Aviaprad
VXG,Avirex
VXX,Aviaexpress Aircompany
XAM,AMR Services Corporation
XAO,Airline Operations Services
VAZ,Airlines 400
VAS,ATRAN Cargo Airlines
VAM,Ameravia
VAV,Angkor Air
VBC,AVB-2004 Ltd
XKX,ASECNA
XAT,AT and T Aviation Division
VAI,Avalair
VRT,Averitt Air Charter
AVE,Avensa
VLI,Avolar Aerolineas
VSA,Avstar Aviation
VSC,AVESCA
XAV,Aviaprom Enterprises
VTT,Avia Trans Air Transport
VSR,Aviostart AS
VTG,Aviacao Transportes Aereos e Cargas
XJA,Assistance Aeroportuaire de L'Aeroport de Paris
XFS,American Flight Service Systems
XXV,AASANA
XME,Australian air Express
XMG,AMS Group
CAJ,Air Caraibes Atlantique
CAO,Air China Cargo
CBE,Aerovias Caribe
CBO,Aerotaxi del Cabo
CBS,Air Columbus
CBV,Aero Cabo
CCA,Air China
CDA,Aerocardal
CDP,Aero Condor Peru
CDU,Aerotrans
CDV,Airline Skol
CFF,Aerofan
CFM,ACEF
CFR,Africa One
CFV,Aero Calafia
CGB,Air Cargo Belize
CGV,Aero Clube Do Algarve
CGW,Air Great Wall
CHJ,Aircompany Chaika
CHR,Air Charter Services
CHV,Air Charter Professionals
CID,Asia Continental Airlines
CIR,Arctic Circle Air Service
CKL,Aviation Charter Services
CLL,Aerovias Castillo
CLP,Aero Club De Portugal
CMF,Air Care Alliance
CND,Aero Continente Dominicana
CNE,Air Toronto
CNH,Aquila Air
CNU,Air Consul
CNX,Allcanada Express
CPF,ATS Private Company
CRD,Air Corridor
CRF,Air Central
CRJ,Air Cruzal
CRP,Aerotransportes Corporativos
CRQ,Air Creebec
CTA,Aero Charter and Transport
CTE,Air Tenglong
CTR,Aerlineas Centauro
CUO,Aerocuahonte
CVA,Air Chathams
CWM,Air Marshall Islands
CWP,Australian Customs Service
CYL,Air One Cityliner
CYO,Air Transport
CYD,Access Air
CYE,Aerocheyenne
DAH,Air Algerie
DAP,Aerovias DAP
DBA,Air Alpha
DBD,Air Niagara Express
DEF,Aviation Defense Service
DEG,Air Service Groningen
DHI,Adam Air
DHL,Astar Air Cargo
DHM,Archer Aviation
DIC,Aeromedica
DIN,Aerodin
DJA,Antinea Airlines
DJU,Air Djibouti
DLA,Air Dolomiti
DLS,Aero Modelo
DLU,Aerolineas Del Sur
DMC,Aerodinamica de Monterrey
DMI,Aeroservicios Dinamicos
DML,Aerotaxis Dosmil
DNA,Aerodespachos De El Salvador
DNC,Aeroynamics Malaga
DNJ,Aerodynamics Incorporated
DNV,Aeroflot-Don
DRD,Air Madrid
DRM,Airways Flight Training
DRO,Aeronaves Del Noreste
DSC,Addis Air Cargo Services
DSK,Aero Algarve
DST,Aex Air
DVI,Aero Davinci International
DYN,Aero Dynamics
EAE,Aeroservicios Ecuatorianos
EAP,Aero-Pyrenees
EAT,Air Transport
EAY,Aero Airlines
EBC,Aero Ejecutivo De Baja California
ECE,Air City
ECG,Aero Ejecutivos RCG
ECL,Aeronautica Castellana
ECM,Aerolineas Comerciales
EDA,Aerolineas Nacionales Del Ecuador
EET,Air Este
EFC,Air Mana
EIN,Aer Lingus
EJP,Aeroservicios Ejecutivos Corporativos
ELG,Alpi Eagles
END,Arrendoora y Transportadora Aerea
EOS,Eliossola
EPA,Shenzhen Donghai Airlines
ENW,Aeronaves Del Noroeste
EOL,Airailes
EOM,Aero Ermes
EPL,Aero Transportes Empresariales
EPS,Epps Air Service
EPE,Aero Empresarial
EQL,Air S
ERG,Avianergo
ERI,Aero Servicios Regiomontanos
ERK,Aerosec
ERM,Aeromaan
ESB,Aerosaba
ESO,Avitat
ESU,Aerolineas Ejecutivas Del Sureste
ESZ,Aeronautica Le Esperanza
ETC,ATTICO
ETE,Aero Siete
EUK,Air Atlanta Europe
EVE,Air Evex
EVR,Aeronautical Academy of Europe
EXG,Air Exchange
FAC,Atlantic Helicopters
FAG,Argentine Air Force
FAJ,Air Fiji
FAN,AF-Air International
FBW,Aviation Data Systems
FCI,Air Carriers
FCO,Aerofrisco
FCU,Alfa 4
FDA,African Airlines
FDS,African Medical and Research Foundation
FGT,Aero Freight
FIC,Aerosafin
FIF,Air Finland
FII,Aerodata Flight Inspection
FIX,Airfix Aviation
FJI,Air Pacific
FLD,Air Falcon
FLI,Atlantic Airways
FLZ,Air Florida
FMT,Air Fret De Mauritanie
FNM,Avio Nord
FNO,Aeroflota Del Noroeste
FNX,Aero Fenix
FRD,Ford Motor Company
FPY,African Company Airlines
FRJ,Afrijet Airlines
FRK,Afrika Aviation Handlers
FRQ,Afrique Chart'air
FRT,Aerofreight Airlines
FST,Aereos Limited
FTC,Air Affaires Tchad
FTY,ABC Bedarsflug
FXI,Air Iceland
GAP,Air Philippines
GAU,Aerogaucho
GBJ,Aero Business Charter
GBN,Atlantic Airlines
GCF,Aeronor
GCK,Aerogem Cargo
GFO,Aerovias del Golfo
GGL,Aeronautica
GGN,Air Georgian
GHL,Aviance
GHN,Air Ghana
GIL,African International Transport
GIP,Air Guinee Express
